ChanceAustin,@GovMikeHuckabee Yes and you support this right? https://t.co/9d0PzQ2KbN,,Sat Aug 04 09:02:55 +0000 2018
MSmeowsie,Zinke is ruining our Natl Park🏞️ Regions w/these Oil &amp; Gas leases!! Irreparable damage has already compromised Carlsbad Caverns with the fracking. Forced huge amounts of water (contaminated waste) have been dissolving these precious natural salt formations. CAN'T BE RECOVERED. https://t.co/IiWJ0FocC1,,Fri Aug 03 23:16:23 +0000 2018
_plantmom,"Can’t forget about all the contaminated water, ya know just a lil thing that all life on earth needs in order to live, period, but nbd or anything https://t.co/t0efiRjkOz",,Fri Aug 03 23:14:52 +0000 2018
alyssa88b,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Fri Aug 03 23:10:52 +0000 2018
BB4Humanity,"RT @Betelgeuse100: All free people enjoying #InternationalBeerDay🍺🍻
࿐please spare a thought for #Gaza held under an illegal crippling Israe…","All free people enjoying #InternationalBeerDay🍺🍻
࿐please spare a thought for #Gaza held under an illegal crippling Israeli siege for over a decade, with 97% water contaminated with sewage/salt

❌Let no one thirst for good water❌

#FreePalestine
#قروب_فلسطيني
@RingwoodBrewery https://t.co/w50WYzg9xI",Fri Aug 03 23:06:03 +0000 2018
DrShawneeLove,"In Florida 
1. Documenting contaminated water
2. Giving oil spill cover up presentations to Educate.
3. Showing residents on how to save money on electric bill and go solar. https://t.co/YdzGjADGAI",,Fri Aug 03 23:05:02 +0000 2018
Despicable_0fox,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Fri Aug 03 22:57:02 +0000 2018
coday_so_gay,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Fri Aug 03 22:50:16 +0000 2018
1079YYD,Safely Cleaning Up After Floods; Water Can Be Contaminated https://t.co/RcwBodOctA https://t.co/RcwBodOctA,,Fri Aug 03 22:44:47 +0000 2018
goodluckkiko,"I examined the chemical genetic risk of tritium contaminated water from the Fukushima nuclear power plant to the sea.

Tritium is replaced with hydrogen atom of water and becomes tritium water.

In this way it... https://t.co/F6ebAcv59K",,Fri Aug 03 22:39:45 +0000 2018
ashleyrwvaughn,"@MaryHenryGEO On top of that, clean water is not readily available! With contaminated water and no where to sterilize bottles or water infants will quickly become infected with water borne diseases.",,Fri Aug 03 22:35:07 +0000 2018
tt85207533,RT @OrganicLiveFood: Recent report shows #Jordans #cereal bars n Warburtons #bread have small traces of popular weedkiller #glyphosate http…,Recent report shows #Jordans #cereal bars n Warburtons #bread have small traces of popular weedkiller #glyphosate https://t.co/OlDPjasW2b,Fri Aug 03 22:31:16 +0000 2018
ttm0710,RT @OrganicLiveFood: Recent report shows #Jordans #cereal bars n Warburtons #bread have small traces of popular weedkiller #glyphosate http…,Recent report shows #Jordans #cereal bars n Warburtons #bread have small traces of popular weedkiller #glyphosate https://t.co/OlDPjasW2b,Fri Aug 03 22:31:14 +0000 2018
AMalegrooming,RT @OrganicLiveFood: Recent report shows #Jordans #cereal bars n Warburtons #bread have small traces of popular weedkiller #glyphosate http…,Recent report shows #Jordans #cereal bars n Warburtons #bread have small traces of popular weedkiller #glyphosate https://t.co/OlDPjasW2b,Fri Aug 03 22:31:13 +0000 2018
alpha1malegroom,RT @OrganicLiveFood: Recent report shows #Jordans #cereal bars n Warburtons #bread have small traces of popular weedkiller #glyphosate http…,Recent report shows #Jordans #cereal bars n Warburtons #bread have small traces of popular weedkiller #glyphosate https://t.co/OlDPjasW2b,Fri Aug 03 22:31:06 +0000 2018
sanpptx,RT @onevoice2: Cyclospora is spread by people ingesting something—such as food or water—that was contaminated with feces (stool). https://t…,Cyclospora is spread by people ingesting something—such as food or water—that was contaminated with feces (stool). https://t.co/8pZyJbw9tw,Fri Aug 03 22:29:39 +0000 2018
alwaysaliberal,@PaulaBonaFide @Comey Remind Mr. Comey that Flint’s water is still contaminated.,,Fri Aug 03 22:27:48 +0000 2018
onevoice2,Cyclospora is spread by people ingesting something—such as food or water—that was contaminated with feces (stool). https://t.co/a2a4vml1nQ,,Fri Aug 03 22:26:42 +0000 2018
Frogerta,RT @onevoice2: Cyclospora is spread by people ingesting something—such as food or water—that was contaminated with feces (stool). https://t…,Cyclospora is spread by people ingesting something—such as food or water—that was contaminated with feces (stool). https://t.co/IWJMqw8TrN,Fri Aug 03 22:25:27 +0000 2018
onevoice2,Cyclospora is spread by people ingesting something—such as food or water—that was contaminated with feces (stool). https://t.co/PxSRdS6gBn,,Fri Aug 03 22:24:01 +0000 2018
onevoice2,Cyclospora is spread by people ingesting something—such as food or water—that was contaminated with feces (stool). https://t.co/FPZrV8qhhu,,Fri Aug 03 22:23:42 +0000 2018
onevoice2,Cyclospora is spread by people ingesting something—such as food or water—that was contaminated with feces (stool). https://t.co/8pZyJbw9tw,,Fri Aug 03 22:23:08 +0000 2018
onevoice2,Cyclospora is spread by people ingesting something—such as food or water—that was contaminated with feces (stool). https://t.co/2dbrPRzZWf,,Fri Aug 03 22:22:24 +0000 2018
terriah01,RT @onevoice2: Cyclospora is spread by people ingesting something—such as food or water—that was contaminated with feces (stool). https://t…,Cyclospora is spread by people ingesting something—such as food or water—that was contaminated with feces (stool). https://t.co/vgUPMTbCH2,Fri Aug 03 22:21:56 +0000 2018
onevoice2,Cyclospora is spread by people ingesting something—such as food or water—that was contaminated with feces (stool). https://t.co/IWJMqw8TrN,,Fri Aug 03 22:21:53 +0000 2018
onevoice2,Cyclospora is spread by people ingesting something—such as food or water—that was contaminated with feces (stool). https://t.co/a4FWbB7kO7,,Fri Aug 03 22:21:03 +0000 2018
onevoice2,Cyclospora is spread by people ingesting something—such as food or water—that was contaminated with feces (stool). https://t.co/vgUPMTbCH2,,Fri Aug 03 22:20:23 +0000 2018
onevoice2,Cyclospora is spread by people ingesting something—such as food or water—that was contaminated with feces (stool). https://t.co/yzzy00h47M,,Fri Aug 03 22:19:58 +0000 2018
nathou_m,"RT @kaismill: We lived in Woodbury for 14 years - drinking contaminated ground water.  Pretty sure we know where my multiple, progressive,…","We lived in Woodbury for 14 years - drinking contaminated ground water.  Pretty sure we know where my multiple, progressive, life-threatening autoimmune diseases came from.  #Lifewith3M #WonderwithUs https://t.co/yhJz9wlwKJ",Fri Aug 03 22:17:03 +0000 2018
MarkyB_62,RT @OrganicLiveFood: Recent report shows #Jordans #cereal bars n Warburtons #bread have small traces of popular weedkiller #glyphosate http…,Recent report shows #Jordans #cereal bars n Warburtons #bread have small traces of popular weedkiller #glyphosate https://t.co/OlDPjasW2b,Fri Aug 03 22:09:58 +0000 2018
OrganicLiveFood,Recent report shows #Jordans #cereal bars n Warburtons #bread have small traces of popular weedkiller #glyphosate https://t.co/OlDPjasW2b,,Fri Aug 03 22:09:22 +0000 2018
kaismill,"We lived in Woodbury for 14 years - drinking contaminated ground water.  Pretty sure we know where my multiple, progressive, life-threatening autoimmune diseases came from.  #Lifewith3M #WonderwithUs https://t.co/yhJz9wlwKJ",,Fri Aug 03 22:08:26 +0000 2018
dvorlando,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Fri Aug 03 22:03:06 +0000 2018
maximperezcalvo,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Fri Aug 03 22:02:16 +0000 2018
maddfinnnnnnn17,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Fri Aug 03 21:56:23 +0000 2018
joyhopelives,RT @LeeCamp: A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the…,"A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the water. ...As the corporate elite extract the last remaining resources &amp; gut regulations, the 99% will be left to drink polluted water &amp; eat rotten food.",Fri Aug 03 21:47:41 +0000 2018
RealBlevins,RT @DenverArtMuseum: Developing images using contaminated water or printing them on expired photo paper are just a couple of ways today's t…,Developing images using contaminated water or printing them on expired photo paper are just a couple of ways today's talents are putting their own spin on traditional photography featured in “New Territory”: https://t.co/gf18E7fH45,Fri Aug 03 21:45:27 +0000 2018
galaxymarcopolo,"Once the sun set, I escaped an onyx pillar near the mountains of a well-known township. The region's water is contaminated, so the Brewmaster created 'Floating Silver Giraffe' - an impressive brew. Even so, there are a lot of wild, dark boars. It's a problem.",,Fri Aug 03 21:42:10 +0000 2018
Mikerfmoses,RT @LesRoediger: The cyclospora parasite causes intestinal illness in people who consumed contaminated food or water. Symptoms can begin a…,The cyclospora parasite causes intestinal illness in people who consumed contaminated food or water. Symptoms can begin a week or more after consuming the parasite. They... https://t.co/iEStSIuT60,Fri Aug 03 21:42:08 +0000 2018
ThatDivaTracy,They want to keep their lead contaminated water public... https://t.co/tMi52JTlsO,,Fri Aug 03 21:40:03 +0000 2018
amberandoliver,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Fri Aug 03 21:38:44 +0000 2018
KateBJ02,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Fri Aug 03 21:35:21 +0000 2018
MaiconCarard,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Fri Aug 03 21:31:02 +0000 2018
Jupiter__Jul,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Fri Aug 03 21:28:03 +0000 2018
lilicomp,RT @BaronBearbum: UK humanunkinds high on that list. Our water supply is being poisoned and contaminated with fracking. The lethal toxic ev…,UK humanunkinds high on that list. Our water supply is being poisoned and contaminated with fracking. The lethal toxic evil additives to our necessary water supply on an island? #fracking #waterpollution #extinction #toxic #ostrichengland #wakeup #TogetherStronger #purewater https://t.co/Mv5eBm2DYS,Fri Aug 03 21:20:48 +0000 2018
ironsightforge,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Fri Aug 03 21:17:49 +0000 2018
sandrabenven67,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Fri Aug 03 21:17:18 +0000 2018
joelmedleyk12,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Fri Aug 03 21:15:19 +0000 2018
wyrdbard,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Fri Aug 03 21:13:35 +0000 2018
JamesMvp1,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Fri Aug 03 21:13:13 +0000 2018
ChrissymayKatie,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Fri Aug 03 21:10:56 +0000 2018
Mehmet51013965,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Fri Aug 03 21:10:55 +0000 2018
